hanzi;pinyin;Meaning;hsk_level
阿姨;āyí;aunt;3
啊;a;ah;3
矮;ǎi;short;3
爱好;àihào;hobby;3
安静;ānjìng;Be quiet;3
把;bǎ;hold;3
班;bān;class;3
搬;bān;move;3
半;bàn;half;3
办法;bànfǎ;Way;3
办公室;bàngōngshì;Office;3
帮忙;bāngmáng;Help;3
包;bāo;package;3
饱;bǎo;full;3
北方;běifāng;north;3
被;bèi;cover;3
鼻子;bízi;nose;3
比较;bǐjiào;compare;3
比赛;bǐsài;Match;3
笔记本;bǐjìběn;notebook;3
必须;bìxū;Must;3
变化;biànhuà;change;3
别人;biéren;Others;3
冰箱;bīngxiāng;Refrigerator;3
菜单;càidān;menu;3
参加;cānjiā;participate in;3
草;cǎo;grass;3
层;céng;layer;3
差;chà;bad;3
超市;chāoshì;Supermarket;3
衬衫;chènshān;shirt;3
成绩;chéngjì;achievement;3
城市;chéngshì;City;3
迟到;chídào;Late;3
除了;chúle;except, besides;3
船;chuán;ship;3
春;chūn;spring;3
词典;cídiǎn;Dictionaries;3
聪明;cōngming;clever;3
打扫;dǎsǎo;Clean;3
打算;dǎsuàn;Plan;3
带;dài;belt;3
担心;dānxīn;Worry;3
蛋糕;dàngāo;Cake;3
当然;dāngrán;Of course;3
地;de;;3
灯;dēng;lamp;3
地方;dìfang;local;3
地铁;dìtiě;metro;3
地图;dìtú;Map;3
电梯;diàntī;Elevator.;3
电子邮件;diànzǐyóujiàn;E-mail;3
东;dōng;east;3
冬;dōng;winter;3
动物;dòngwù;Animal;3
短;duǎn;short;3
段;duàn;paragraph;3
锻炼;duànliàn;Physical exercise;3
多么;duōme;such;3
饿;è;hungry;3
不但……而且……;búdàn...érqiě…;not only…but also…;3
耳朵;ěrduo;Ears;3
发;fā;send out;3
发烧;fāshāo;Have a fever;3
发现;fāxiàn;find, discover;3
方便;fāngbiàn;convenient;3
放;fàng;discharge;3
放心;fàngxīn;Don't worry;3
分;fēn;minute;3
附近;fùjìn;nearby;3
复习;fùxí;Review;3
干净;gānjìng;clean;3
感兴趣;gǎnxìngqù;be intretested in;3
感冒;gǎnmào;get a cold;3
刚才;gāngcái;just;3
个子;gèzi;height;3
跟;gēn;with;3
根据;gēnjù;according to;3
更;gèng;more;3
公斤;gōngjīn;Kg.;3
公园;gōngyuán;Park;3
故事;gùshi;Story;3
刮风;guāfēng;Windy;3
关;guān;shut;3
关系;guānxì;relationship;3
关心;guānxīn;Care for;3
关于;guānyú;about;3
国家;guójiā;Country;3
过去;guòqù;Past times;3
过（动词）;guò;pass;3
还是;háishì;still;3
害怕;hàipà;Fear;3
黑板;hēibǎn;blackboard;3
后来;hòulái;later;3
护照;hùzhào;passport;3
花（动词）;huā;spend;3
花（名词）;huā;flower;3
画;huà;painting;3
坏;huài;bad;3
欢迎;huānyíng;Welcome;3
还（动词）;huán;Return;3
环境;huánjìng;Environment;3
换;huàn;change;3
黄河;huánghé;Yellow River;3
回答;huídá;Answer;3
会议;huìyì;Meeting;3
或者;huòzhě;perhaps;3
几乎;jīhū;almost;3
机会;jīhuì;Opportunity;3
极;jí;extremely;3
记得;jìde;remember;3
季节;jìjié;Season;3
检查;jiǎnchá;inspect;3
简单;jiǎndān;simple;3
健康;jiànkāng;Healthy;3
见面;jiànmiàn;meet;3
讲;jiǎng;speak;3
教;jiāo;teach;3
角;jiǎo;horn;3
脚;jiǎo;foot;3
接;jiē;pick,get;3
街道;jiēdào;Street;3
结婚;jiéhūn;marry;3
结束;jiéshù;End;3
节目;jiémù;program;3
节日;jiérì;festival;3
解决;jiějué;Solve;3
借;jiè;borrow;3
经常;jīngcháng;Often;3
经过;jīngguò;After, through;3
经理;jīnglǐ;manager;3
久;jiǔ;long;3
旧;jiù;old,used;3
句子;jùzi;sentence;3
决定;juédìng;Decision;3
渴;kě;thirsty;3
可爱;kě'ài;Lovely;3
刻;kè;moment;3
客人;kèrén;Guest;3
空调;kōngtiáo;Air conditioner;3
口;kǒu;mouth;3
哭;kū;cry;3
裤子;kùzi;trousers;3
筷子;kuàizi;chopsticks;3
蓝;lán;blue;3
老;lǎo;old;3
离开;líkāi;leave;3
礼物;lǐwù;gift;3
历史;lìshǐ;History;3
脸;liǎn;face;3
聊天;liáotiān;chat;3
练习;liànxí;Practice;3
辆;liàng;Car;3
了解;liǎojiě;understand;3
邻居;línjū;neighbor;3
留学;liúxué;Overseas Study;3
楼;lóu;floor;3
绿;lǜ;green;3
马;mǎ;Horse;3
马上;mǎshàng;Right off;3
满意;mǎnyì;Satisfied;3
帽子;màozi;Hat;3
米;mǐ;rice;3
面包;miànbāo;Bread;3
明白;míngbai;clear;3
拿;ná;take;3
奶奶;nǎinai;grandma;3
南;nán;south;3
难;nán;difficult;3
难过;nánguò;sad;3
年级;niánjí;grade;3
年轻;niánqīng;Young;3
鸟;niǎo;bird;3
努力;nǔlì;Strive;3
爬山;páshān;Mountain climbing;3
盘子;pánzi;plate;3
胖;pàng;fat;3
啤酒;píjiǔ;Beer;3
皮鞋;píxié;leather shoes;3
瓶子;píngzi;bottle;3
其实;qíshí;actually;3
其他;qítā;Other;3
骑;qí;ride;3
奇怪;qíguài;strange;3
起来;qǐlái;get up;3
起飞;qǐfēi;take off;3
清楚;qīngchu;clear;3
请假;qǐngjià;ask for leave;3
秋;qiū;autumn;3
裙子;qúnzi;skirt;3
然后;ránhòu;Then;3
热情;rèqíng;Enthusiasm;3
认为;rènwéi;think;3
认真;rènzhēn;earnest;3
容易;róngyì;easily;3
如果;rúguǒ;If;3
伞;sǎn;umbrella;3
上网;shàngwǎng;Surf the Internet;3
生气;shēngqì;get angry;3
声音;shēngyīn;voice;3
试;shì;try;3
世界;shìjiè;world;3
瘦;shòu;thin;3
舒服;shūfu;comfortable;3
叔叔;shūshu;uncle;3
树;shù;tree;3
数学;shùxué;Mathematics;3
刷牙;shuāyá;Brush one's teeth;3
双;shuāng;double, pair;3
水平;shuǐpíng;level;3
司机;sījī;Driver;3
太阳;tàiyáng;sun;3
特别;tèbié;Especially;3
疼;téng;hurt;3
提高;tígāo;increase;3
体育;tǐyù;Sports;3
甜;tián;sweet;3
条;tiáo;strip;3
同事;tóngshì;Colleague;3
同意;tóngyì;Agree;3
头发;tóufa;Hair;3
突然;tūrán;suddenly;3
图书馆;túshūguǎn;Library;3
腿;tuǐ;leg;3
完成;wánchéng;complete;3
碗;wǎn;bowl;3
万;wàn;ten thousand;3
忘记;wàngjì;forget;3
为;wèi;for;3
为了;wèile;in order to;3
位;wèi;position;3
文化;wénhuà;Culture;3
西;xī;west;3
习惯;xíguàn;Habit;3
洗手间;xǐshǒujiān;Restroom;3
洗澡;xǐzǎo;Take a shower;3
夏;xià;summer;3
先;xiān;first;3
香蕉;xiāngjiāo;Banana;3
相信;xiāngxìn;believe;3
向;xiàng;towards;3
像;xiàng;image;3
小心;xiǎoxīn;watch out;3
校长;xiàozhǎng;Principal;3
新闻;xīnwén;news;3
新鲜;xīnxiān;fresh;3
信用卡;xìnyòngkǎ;Credit card;3
行李箱;xínglixiāng;Trunk;3
熊猫;xióngmāo;Panda;3
需要;xūyào;Need;3
选择;xuǎnzé;Choice;3
要求;yāoqiú;Requirement;3
爷爷;yéye;grandpa;3
一定;yídìng;Certain;3
一共;yígòng;Altogether;3
一会儿;yíhuìr;a while;3
一样;yíyàng;equally;3
以前;yǐqián;before;3
一般;yìbān;commonly;3
一边;yìbiān;One side;3
一直;yìzhí;always;3
音乐;yīnyuè;Music;3
银行;yínháng;Bank;3
饮料;yǐnliào;Drinks;3
应该;yīnggāi;Should;3
影响;yǐngxiǎng;Influence;3
用;yòng;use;3
游戏;yóuxì;Game;3
有名;yǒumíng;Famous;3
又;yòu;again;3
遇到;yùdào;encounter;3
元;yuán;"element; yuan";3
愿意;yuànyì;Be willing;3
月亮;yuèliang;Moon;3
越;yuè;the more;3
站;zhàn;station;3
张;zhāng;Zhang (surname);3
长（动词）;zhǎng;grow;3
着急;zháojí;Worry;3
照顾;zhàogù;look after;3
照片;zhàopiàn;Photo;3
照相机;zhàoxiàngjī;Camera;3
只（量词）;zhī;(measure word);3
只（副词）;zhǐ;only;3
只有……才……;zhǐyǒu…cái…;only if;3
中文;zhōngwén;Chinese;3
中间;zhōngjiān;Middle;3
终于;zhōngyú;finally;3
种;zhǒng;species;3
重要;zhòngyào;important;3
周末;zhōumò;Weekend;3
主要;zhǔyào;main;3
注意;zhùyì;Be careful;3
自己;zìjǐ;Own, self;3
自行车;zìxíngchē;Bicycle;3
总是;zǒngshì;always;3
嘴;zuǐ;mouth;3
最后;zuìhòu;Last;3
最近;zuìjìn;lately;3
作业;zuòyè;homework;3